number,name,status
606,Python Compatibility Version,Rejected
599,The manylinux2014 Platform Tag,Informational
601,Forbid return/break/continue breaking out of finally,Rejected
597,Add optional EncodingWarning,Final
598,Introducing incremental feature releases,Informational
592,Adding “Yank” Support to the Simple API,Final
593,Flexible function and variable annotations,Accepted
595,Improving bugs.python.org,Informational
596,Python 3.9 Release Schedule,Informational
594,Removing dead batteries from the standard library,Standards Track
591,Adding a final qualifier to typing,Accepted
590,Vectorcall: a fast calling protocol for CPython,Standards Track
588,GitHub Issues Migration Plan,Draft
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,Standards Track
587,Python Initialization Configuration,Final
585,Type Hinting Generics In Standard Collections,Standards Track
586,Literal Types,Accepted
583,A Concurrency Memory Model for Python,Withdrawn
584,Add Union Operators To dict,Standards Track
582,Python local packages directory,Standards Track
578,Python Runtime Audit Hooks,Standards Track
581,Using GitHub Issues for CPython,Accepted
580,The C call protocol,Standards Track
577,Augmented Assignment Expressions,Withdrawn
579,Refactoring C functions and methods,Informational
576,Rationalize Built-in function classes,Standards Track
569,Python 3.8 Release Schedule,Active
574,Pickle protocol 5 with out-of-band data,Standards Track
575,Unifying function/method classes,Withdrawn
573,Module State Access from C Extension Methods,Final
571,The manylinux2010 Platform Tag,Superseded
572,Assignment Expressions,Final
570,Python Positional-Only Parameters,Final
568,Generator-sensitivity for Context Variables,Deferred
567,Context Variables,Final
566,Metadata for Python Software Packages 2.1,Final
563,Postponed Evaluation of Annotations,Standards Track
564,Add new time functions with nanosecond resolution,Final
565,Show DeprecationWarning in __main__,Final
561,Distributing and Packaging Type Information,Final
562,Module __getattr__ and __dir__,Final
560,Core support for typing module and generic types,Accepted
554,Multiple Interpreters in the Stdlib,Standards Track
559,Built-in noop(),Rejected
558,Defined semantics for locals(),Deferred
556,Threaded garbage collection,Deferred
557,Data Classes,Final
555,Context-local variables (contextvars),Withdrawn
553,Built-in breakpoint(),Final
552,Deterministic pycs,Final
551,Security transparency in the Python runtime,Withdrawn
550,Execution Context,Withdrawn
547,Running extension modules using the -m option,Deferred
548,More Flexible Loop Control,Rejected
549,Instance Descriptors,Standards Track
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,Standards Track
544,Protocols: Structural subtyping (static duck typing),Accepted
542,Dot Notation Assignment In Function Header,Rejected
545,Python Documentation Translations,Final
541,Package Index Name Retention,Final
543,A Unified TLS API for Python,Withdrawn
537,Python 3.7 Release Schedule,Active
540,Add a new UTF-8 Mode,Standards Track
539,A New C-API for Thread-Local Storage in CPython,Standards Track
538,Coercing the legacy C locale to a UTF-8 based locale,Standards Track
536,Final Grammar for Literal String Interpolation,Deferred
535,Rich comparison chaining,Deferred
534,Improved Errors for Missing Standard Library Modules,Deferred
532,A circuit breaking protocol and binary operators,Deferred
533,Deterministic cleanup for iterators,Standards Track
529,Change Windows filesystem encoding to UTF-8,Final
530,Asynchronous Comprehensions,Standards Track
531,Existence checking operators,Withdrawn
528,Change Windows console encoding to UTF-8,Final
526,Syntax for Variable Annotations,Final
527,Removing Un(der)used file types/extensions on PyPI,Final
524,Make os.urandom() blocking on Linux,Final
525,Asynchronous Generators,Standards Track
523,Adding a frame evaluation API to CPython,Final
522,Allow BlockingIOError in security sensitive APIs,Rejected
521,Managing global context via ‘with’ blocks in generators and coroutines,Withdrawn
520,Preserving Class Attribute Definition Order,Final
518,Specifying Minimum Build System Requirements for Python Projects,Final
519,Adding a file system path protocol,Final
515,Underscores in Numeric Literals,Final
517,A build-system independent format for source trees,Final
516,Build system abstraction for pip/conda etc,Rejected
514,Python registration in the Windows registry,Informational
513,A Platform Tag for Portable Linux Built Distributions,Superseded
512,Migrating from hg.python.org to GitHub,Process
509,Add a private version to dict,Superseded
511,API for code transformers,Rejected
508,Dependency specification for Python Software Packages,Final
510,Specialize functions with guards,Rejected
507,Migrate CPython to Git and GitLab,Rejected
506,Adding A Secrets Module To The Standard Library,Final
505,None-aware operators,Deferred
504,Using the System RNG by default,Withdrawn
503,Simple Repository API,Final
502,String Interpolation - Extended Discussion,Rejected
501,General purpose string interpolation,Deferred
500,A protocol for delegating datetime methods to their tzinfo implementations,Standards Track
499,,Standards Track
498,Literal String Interpolation,Final
497,A standard mechanism for backward compatibility,Process
496,Environment Markers,Informational
493,HTTPS verification migration tools for Python 2.7,Standards Track
495,Local Time Disambiguation,Standards Track
494,Python 3.6 Release Schedule,Final
490,Chain exceptions at C level,Rejected
491,The Wheel Binary Package Format 1.9,Standards Track
492,Coroutines with async and await syntax,Standards Track
489,Multi-phase extension module initialization,Final
488,Elimination of PYO files,Final
486,Make the Python Launcher aware of virtual environments,Final
487,Simpler customisation of class creation,Final
483,The Theory of Type Hints,Informational
484,Type Hints,Final
485,A Function for testing approximate equality,Final
482,Literature Overview for Type Hints,Informational
481,"Migrate CPython to Git, Github, and Phabricator",Withdrawn
480,Surviving a Compromise of PyPI: End-to-end signing of packages,Draft
479,Change StopIteration handling inside generators,Final
478,Python 3.5 Release Schedule,Final
476,Enabling certificate verification by default for stdlib http clients,Final
477,Backport ensurepip (PEP 453) to Python 2.7,Standards Track
475,Retry system calls failing with EINTR,Standards Track
474,Creating forge.python.org,Withdrawn
472,Support for indexing with keyword arguments,Standards Track
473,Adding structured data to built-in exceptions,Rejected
471,os.scandir() function – a better and faster directory iterator,Standards Track
470,Removing External Hosting Support on PyPI,Final
469,Migration of dict iteration code to Python 3,Withdrawn
468,Preserving the order of **kwargs in a function.,Standards Track
465,A dedicated infix operator for matrix multiplication,Final
467,Minor API improvements for binary sequences,Draft
466,Network Security Enhancements for Python 2.7.x,Final
464,Removal of the PyPI Mirror Authenticity API,Final
463,Exception-catching expressions,Rejected
462,Core development workflow automation for CPython,Withdrawn
461,Adding % formatting to bytes and bytearray,Final
460,Add binary interpolation and formatting,Withdrawn
458,Secure PyPI downloads with signed repository metadata,Standards Track
459,Standard Metadata Extensions for Python Software Packages,Withdrawn
457,Notation For Positional-Only Parameters,Informational
455,Adding a key-transforming dictionary to collections,Standards Track
454,Add a new tracemalloc module to trace Python memory allocations,Standards Track
452,API for Cryptographic Hash Functions v2.0,Final
451,A ModuleSpec Type for the Import System,Final
450,Adding A Statistics Module To The Standard Library,Final
456,Secure and interchangeable hash algorithm,Standards Track
449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,Final
448,Additional Unpacking Generalizations,Standards Track
446,Make newly created file descriptors non-inheritable,Final
447,Add __getdescriptor__ method to metaclass,Deferred
453,Explicit bootstrapping of pip in Python installations,Standards Track
443,Single-dispatch generic functions,Standards Track
445,Add new APIs to customize Python memory allocators,Standards Track
444,Python Web3 Interface,Informational
442,Safe object finalization,Standards Track
441,Improving Python ZIP Application Support,Standards Track
440,Version Identification and Dependency Specification,Final
439,Inclusion of implicit pip bootstrap in Python installation,Rejected
438,Transitioning to release-file hosting on PyPI,Superseded
437,"A DSL for specifying signatures, annotations and argument converters",Rejected
436,The Argument Clinic DSL,Standards Track
435,Adding an Enum type to the Python standard library,Final
433,Easier suppression of file descriptor inheritance,Superseded
434,IDLE Enhancement Exception for All Branches,Informational
432,Restructuring the CPython startup sequence,Standards Track
431,Time zone support improvements,Standards Track
430,Migrating to Python 3 as the default online documentation,Informational
429,Python 3.4 Release Schedule,Final
428,The pathlib module – object-oriented filesystem paths,Final
427,The Wheel Binary Package Format 1.0,Final
426,Metadata for Python Software Packages 2.0,Withdrawn
425,Compatibility Tags for Built Distributions,Standards Track
424,A method for exposing a length hint,Final
422,Simpler customisation of class creation,Withdrawn
423,Naming conventions and recipes related to packaging,Informational
421,Adding sys.implementation,Standards Track
419,Protecting cleanup statements from interruptions,Deferred
420,Implicit Namespace Packages,Final
417,Including mock in the Standard Library,Final
418,"Add monotonic time, performance counter, and process time functions",Final
416,Add a frozendict builtin type,Rejected
415,Implement context suppression with exception attributes,Standards Track
414,Explicit Unicode Literal for Python 3.3,Final
413,Faster evolution of the Python Standard Library,Withdrawn
411,Provisional packages in the Python standard library,Superseded
412,Key-Sharing Dictionary,Final
410,Use decimal.Decimal type for timestamps,Rejected
409,Suppressing exception context,Final
408,Standard library __preview__ package,Rejected
406,Improved Encapsulation of Import State,Withdrawn
407,New release cycle and introducing long-term support versions,Deferred
405,Python Virtual Environments,Standards Track
404,Python 2.8 Un-release Schedule,Final
403,General purpose decorator clause (aka “@in” clause),Deferred
400,Deprecate codecs.StreamReader and codecs.StreamWriter,Deferred
402,Simplified Package Layout and Partitioning,Rejected
401,BDFL Retirement,April Fool!
399,Pure Python/C Accelerator Module Compatibility Requirements,Final
398,Python 3.3 Release Schedule,Final
396,Module Version Numbers,Rejected
397,Python launcher for Windows,Final
394,The “python” Command on Unix-Like Systems,Active
395,Qualified Names for Modules,Withdrawn
392,Python 3.2 Release Schedule,Final
393,Flexible String Representation,Final
391,Dictionary-Based Configuration For Logging,Final
389,argparse - New Command Line Parsing Module,Final
390,Static metadata for Distutils,Rejected
387,Backwards Compatibility Policy,Active
386,Changing the version comparison module in Distutils,Superseded
385,Migrating from Subversion to Mercurial,Final
383,Non-decodable Bytes in System Character Interfaces,Final
384,Defining a Stable ABI,Final
382,Namespace Packages,Rejected
381,Mirroring infrastructure for PyPI,Withdrawn
380,Syntax for Delegating to a Subgenerator,Final
378,Format Specifier for Thousands Separator,Final
377,Allow __enter__() methods to skip the statement body,Rejected
379,Adding an Assignment Expression,Withdrawn
376,Database of Installed Python Distributions,Final
375,Python 3.1 Release Schedule,Final
373,Python 2.7 Release Schedule,Final
374,Choosing a distributed VCS for the Python project,Final
370,Per user site-packages directory,Final
372,Adding an ordered dictionary to collections,Final
371,Addition of the multiprocessing package to the standard library,Final
367,New Super,Superseded
369,Post import hooks,Withdrawn
366,Main module explicit relative imports,Final
368,Standard image protocol and class,Deferred
365,Adding the pkg_resources module,Rejected
363,Syntax For Dynamic Attribute Access,Rejected
364,Transitioning to the Py3K Standard Library,Withdrawn
362,Function Signature Object,Final
361,Python 2.6 and 3.0 Release Schedule,Final
360,Externally Maintained Packages,Final
359,The “make” Statement,Withdrawn
357,Allowing Any Object to be Used for Slicing,Final
358,The “bytes” Object,Final
355,Path - Object oriented filesystem paths,Rejected
356,Python 2.5 Release Schedule,Final
351,The freeze protocol,Rejected
353,Using ssize_t as the index type,Final
354,Enumerations in Python,Superseded
352,Required Superclass for Exceptions,Final
350,Codetags,Rejected
349,Allow str() to return unicode strings,Rejected
347,Migrating the Python CVS to Subversion,Process
346,User Defined (”,Withdrawn
348,Exception Reorganization for Python 3.0,Rejected
345,Metadata for Python Software Packages 1.2,Standards Track
344,Exception Chaining and Embedded Tracebacks,Superseded
341,Unifying try-except and try-finally,Final
342,Coroutines via Enhanced Generators,Final
343,The “with” Statement,Final
337,Logging Usage in the Standard Library,Deferred
339,Design of the CPython Compiler,Withdrawn
340,Anonymous Block Statements,Rejected
338,Executing modules as scripts,Final
336,Make None Callable,Rejected
332,Byte vectors and String/Unicode Unification,Rejected
334,Simple Coroutines via SuspendIteration,Withdrawn
333,Python Web Server Gateway Interface v1.0,Informational
331,Locale-Independent Float/String Conversions,Final
330,Python Bytecode Verification,Rejected
329,Treating Builtins as Constants in the Standard Library,Rejected
335,Overloadable Boolean Operators,Rejected
328,Imports: Multi-Line and Absolute/Relative,Final
326,A Case for Top and Bottom Values,Rejected
327,Decimal Data Type,Final
325,Resource-Release Support for Generators,Rejected
324,subprocess - New process module,Final
322,Reverse Iteration,Final
323,Copyable Iterators,Deferred
321,Date/Time Parsing and Formatting,Withdrawn
320,Python 2.4 Release Schedule,Final
319,Python Synchronize/Asynchronize Block,Rejected
318,Decorators for Functions and Methods,Final
316,Programming by Contract for Python,Deferred
317,Eliminate Implicit Exception Instantiation,Rejected
315,Enhanced While Loop,Rejected
313,Adding Roman Numeral Literals to Python,Rejected
314,Metadata for Python Software Packages 1.1,Standards Track
312,Simple Implicit Lambda,Deferred
311,Simplified Global Interpreter Lock Acquisition for Extensions,Final
310,Reliable Acquisition/Release Pairs,Rejected
309,Partial Function Application,Final
308,Conditional Expressions,Final
306,How to Change Python’s Grammar,Withdrawn
307,Extensions to the pickle protocol,Final
304,Controlling Generation of Bytecode Files,Withdrawn
305,CSV File API,Standards Track
303,Extend divmod() for Multiple Divisors,Rejected
302,New Import Hooks,Final
299,Special __main__() function in modules,Rejected
301,Package Index and Metadata for Distutils,Final
298,The Locked Buffer Interface,Withdrawn
296,Adding a bytes Object Type,Withdrawn
297,Support for System Upgrades,Rejected
295,Interpretation of multiline string constants,Rejected
294,Type Names in the types Module,Rejected
292,Simpler String Substitutions,Final
291,Backward Compatibility for the Python 2 Standard Library,Final
293,Codec Error Handling Callbacks,Final
289,Generator Expressions,Final
288,Generators Attributes and Exceptions,Withdrawn
285,Adding a bool type,Final
286,Enhanced Argument Tuples,Deferred
290,Code Migration and Modernization,Active
287,reStructuredText Docstring Format,Informational
284,Integer for-loops,Rejected
283,Python 2.3 Release Schedule,Final
281,Loop Counter Iteration with range and xrange,Rejected
282,A Logging System,Final
280,Optimizing access to globals,Deferred
279,The enumerate() built-in function,Final
278,Universal Newline Support,Final
277,Unicode file name support for Windows NT,Final
276,Simple Iterator for ints,Rejected
274,Dict Comprehensions,Final
273,Import Modules from Zip Archives,Final
270,uniq method for list objects,Rejected
272,API for Block Encryption Algorithms v1.0,Final
271,Prefixing sys.path by command line option,Rejected
269,Pgen Module for Python,Deferred
267,Optimized Access to Module Namespaces,Deferred
275,Switching on Multiple Values,Rejected
268,Extended HTTP functionality and WebDAV,Rejected
266,Optimizing Global Variable/Attribute Access,Withdrawn
265,Sorting Dictionaries by Value,Rejected
264,Future statements in simulated shells,Final
263,Defining Python Source Code Encodings,Final
262,A Database of Installed Python Packages,Rejected
261,Support for “wide” Unicode characters,Final
260,Simplify xrange(),Final
259,Omit printing newline after newline,Rejected
258,Docutils Design Specification,Standards Track
256,Docstring Processing System Framework,Standards Track
255,Simple Generators,Final
254,Making Classes Look More Like Types,Rejected
257,Docstring Conventions,Informational
251,Python 2.2 Release Schedule,Final
250,Using site-packages on Windows,Final
253,Subtyping Built-in Types,Final
252,Making Types Look More Like Classes,Final
249,Python Database API Specification v2.0,Informational
248,Python Database API Specification v1.0,Informational
247,API for Cryptographic Hash Functions,Final
246,Object Adaptation,Rejected
245,Python Interface Syntax,Rejected
244,The ,Rejected
240,Adding a Rational Literal to Python,Rejected
242,Numeric Kinds,Rejected
243,Module Repository Upload Mechanism,Standards Track
241,Metadata for Python Software Packages,Standards Track
239,Adding a Rational Type to Python,Rejected
238,Changing the Division Operator,Final
236,Back to the __future__,Final
237,Unifying Long Integers and Integers,Final
233,Python Online Help,Deferred
234,Iterators,Final
235,Import on Case-Insensitive Platforms,Final
232,Function Attributes,Final
231,__findattr__(),Rejected
230,Warning Framework,Final
229,Using Distutils to Build Python,Final
228,Reworking Python’s Numeric Model,Withdrawn
227,Statically Nested Scopes,Final
225,Elementwise/Objectwise Operators,Rejected
226,Python 2.1 Release Schedule,Final
224,Attribute Docstrings,Rejected
223,Change the Meaning of ,Final
222,Web Library Enhancements,Deferred
221,Import As,Final
220,"Coroutines, Generators, Continuations",Rejected
219,Stackless Python,Deferred
217,Display Hook for Interactive Use,Final
218,Adding a Built-In Set Object Type,Final
215,String Interpolation,Superseded
216,Docstring Format,Rejected
214,Extended Print Statement,Final
213,Attribute Access Handlers,Deferred
212,Loop Counter Iteration,Rejected
210,Decoupling the Interpreter Loop,Rejected
211,Adding A New Outer Product Operator,Rejected
208,Reworking the Coercion Model,Final
209,Multi-dimensional Arrays,Withdrawn
207,Rich Comparisons,Final
8,Style Guide for Python Code,Active
205,Weak References,Final
206,Python Advanced Library,Withdrawn
204,Range Literals,Rejected
203,Augmented Assignments,Final
7,Style Guide for C Code,Active
6,Bug Fix Releases,Active
4,Deprecation of Standard Modules,Active
3,Guidelines for Handling Bug Reports,Withdrawn
5,Guidelines for Language Evolution,Active
2,Procedure for Adding New Modules,Active
